ref_period_width,trade_period_width,number_of_parameters,mean,simulation_period_to,position_id_1,position_id_2
100,50,1,0.0008625621293954916,2005,3,4
12,12,1,0.0008622368433654615,2005,3,4
12,5,1,0.0008585056222086011,2005,3,4
150,50,1,0.000804874322177288,2005,3,4
100,12,3,0.0010736022317226139,2005,3,5
25,12,1,0.0010131304800568737,2005,3,5
100,12,5,0.0009220704857809131,2005,3,5
25,25,1,0.0009309879181667818,2005,3,6
100,50,1,0.0008625621293954916,2005,3,6
150,50,1,0.000804874322177288,2005,3,6
100,50,1,0.0011681744742805657,2005,3,7
150,5,1,0.0011409060724550597,2005,3,7
150,12,1,0.0011012843180334653,2005,3,7
12,5,1,0.0010950495452804615,2005,3,7
100,12,5,0.0010124555242767383,2005,3,8
100,12,3,0.0010091528509554013,2005,3,8
100,5,1,0.0008986987102160105,2005,3,8
100,50,1,0.0008625621293954916,2005,3,9
150,50,1,0.000804874322177288,2005,3,9
100,12,1,0.0013848795656289546,2005,3,10
100,5,1,0.0013618968270304502,2005,3,10
12,12,3,0.0013027265304163104,2005,3,10
100,50,1,0.0012933241224357315,2005,3,10
12,50,1,0.0014569876391346056,2005,3,11
25,25,1,0.0012015446901306474,2005,3,11
12,5,1,0.0010900093249979436,2005,3,11
100,50,1,0.0008625621293954916,2005,3,11
25,50,1,0.0009878147652572097,2005,3,12
25,12,1,0.0009596796795872304,2005,3,12
25,5,1,0.0011186553009682066,2005,3,13
25,25,1,0.001113633110574424,2005,3,13
25,12,1,0.001070028105463362,2005,3,13
12,12,3,0.0010373389061925692,2005,3,13
25,25,1,0.0009309879181667818,2005,3,14
100,50,1,0.0008625621293954916,2005,3,14
150,50,1,0.000804874322177288,2005,3,14
100,12,3,0.0010736022317226139,2005,3,15
25,12,1,0.0010131304800568737,2005,3,15
100,12,5,0.0009220704857809131,2005,3,15
100,50,1,0.0008625621293954916,2005,3,16
12,12,1,0.0008622368433654615,2005,3,16
12,5,1,0.0008585056222086011,2005,3,16
150,50,1,0.000804874322177288,2005,3,16
25,25,1,0.0011342385620064616,2005,3,17
25,50,1,0.000893636327814239,2005,3,17
100,50,3,0.0008660848810839195,2005,3,17
12,5,3,0.0008647535905660359,2005,3,17
12,50,1,0.001320767672604316,2005,3,18
25,25,1,0.001152592939581055,2005,3,18
25,12,1,0.0009504681238855308,2005,3,18
12,5,1,0.0008897772902005505,2005,3,18
100,50,1,0.0013652131903606984,2005,3,19
100,25,1,0.0012889850830717256,2005,3,19
100,12,1,0.0012194205396476238,2005,3,19
25,25,1,0.0008864153704583354,2005,3,19
25,5,1,0.0010466708036677116,2005,3,20
12,12,1,0.000959830296363317,2005,3,20
12,12,3,0.0009565903472920008,2005,3,20
25,25,1,0.0009029423576967726,2005,3,20
100,50,1,0.0008625621293954916,2005,3,21
150,50,1,0.000804874322177288,2005,3,21
100,12,5,0.0010124555242767383,2005,3,22
100,12,3,0.0010091528509554013,2005,3,22
100,5,1,0.0008986987102160105,2005,3,22
25,12,1,0.0009551594847292122,2005,3,23
100,12,1,0.0008970656882736499,2005,3,23
12,12,1,0.0008873913565417466,2005,3,23
100,50,1,0.0008625621293954916,2005,3,23
25,50,1,0.0009878147652572097,2005,3,24
25,12,1,0.0009596796795872304,2005,3,24
